company_id,name
ee2d5fba-14e1-4650-bc44-dc84d6c64b8b,FUJITSU TEN LIMITED
0192d176-058e-4487-be22-7a4f1d16fbc8,"Newtonoid Technologies, L.L.C."
249080b3-6e7a-479b-8eb8-83854389b6c7,Societe pour l'Etude et la Fabrication de Circuits Integres Speciaux E.F.C.I.S.
aa7b829c-8270-421a-b6c6-3d6f80da1dbf,"SANYO CHEMICAL INDUSTRIES, LTD."
28f0f173-cd2a-4486-abf5-faf9f604acb8,SATAKE CORPORATION
af13d108-775f-450f-90ce-d41f69dd5a24,Sabic Innovative Plastics B.V.
ff70e82a-3b92-46af-be46-9db9cd6b1521,Cole Taylor Bank
ffe8a12d-59e9-4c2e-934a-94a7622ff217,"Miraisens, Inc."
c6bf5572-c7f5-4f24-b7ef-e1c07c62d48e,"Biochar Now, LLC"
55c4a89d-026a-49ad-bc59-24df7380042d,Cluaran Associates Ltd.
f81b43ea-5e6d-4da2-9ca7-eb4a6788bcb2,"Albion International, Inc."
ac0d549b-0dc5-4f65-a7b7-717782efc537,"Coherent, Inc."
b49a7572-20c0-43af-9409-0e34b0cce970,FANUC CORPORATION
f03b055d-490c-4a02-b18d-5827f6f5cfb1,PsiloQuest
79d0a0b6-8a83-4bd2-87ab-0bd0b2ef1d7d,"HILLS, INC."
54ac381b-8a94-40b1-8d91-ec37a176ca94,Simco Automotive
b0c389ad-f8a8-4bef-ae6a-f77f50fd53d3,BlackBerry Limited
cbe02509-f03e-4b7c-9449-aa1ef4e24600,Avago Technologies General IP (Singapore) Pte. Ltd.
210c7c86-78fb-4cd3-88f9-af09fa42d941,"4-Tell, Inc."
b931a660-7bb9-496e-b4a1-29de584094a3,University of Hong Kong
2ddb67b2-0641-4a04-a255-d16f34ea2a50,Compagnie Generale des Matieres Nucleaires
552c8fa7-98ec-444f-b4d5-d217aa8488f8,MTU Motoren-und Turbinen-Union MÃƒÂ¼nchen GmbH
8f6117ce-0730-4bf1-8a97-b28814a2f9b7,"APS Technology, LLC"
93aeeef0-a0e7-4e0b-9c2e-df24a4371e38,No. 3 Transportation Engineering Perambulation and Design Institue of Ministry of Traffic
3786790e-0c51-4729-b2d9-b714f734908c,Marvell International Ltd.
f31f40a2-82c1-42d1-9cf8-e745fb2237da,Design Institute of America
91d51144-8577-441b-9d43-345cdbbde946,Marana Unique Products Inc.
e3f3911a-d8ff-4006-974c-ccc1fe1839a4,"Concept Laser, GmbH"
75968dda-1284-4252-9848-033e9a60f33e,"ARCHERY INNOVATORS, LLC"
7618d8ad-da0d-4b33-b40b-2c269e3dee95,"Nant Holdings IP, LLC"
45f5ddda-9055-4115-ab52-9e6b33a7a852,Kureha Kagaku Kogyo Kabushiki Kaisha
b5185830-1b8c-4271-b418-04a1ae45ebff,TESSERA LLC
3d2f6bb9-f7f6-403d-bfd4-ff83e361be92,"Lawrence Livermore National Security, LLC"
